Integral Name,Class,Ra Obj,Dec Obj,Integral Alt Names,Maxi Name,Maxi ID,Swift Name,Swift ID,Fermi Name,Fermi ID,Swift Weak
CTS 109,7104,323.00916,-33.715,"1RXS J213202.3-334255, CTS A08.12",noMaxi,noMaxi,CTS 109,CTS109,noFermi,noFermi,yes
IGR J21335+5105,1640,323.375,51.091946,RX J2133.7+5107,noMaxi,noMaxi,0ES 2132+50.9,0ES2132p50.9,noFermi,noFermi,yes
IGR J21347+4737,1106,323.58493,47.63339000000001,"IGR J21343+4738, USNO-B1.0 1376-0511904",IGR J21347+4737,J2134+476,noSwift,noSwift,noFermi,noFermi,noSwift
RX J2135.9+4728,7104,323.9766,47.47453,"IGR J21358+4729, 1RXS J213555.0+472823, RX J213553+47282",noMaxi,noMaxi,RX J2135.9+4728,RXJ2135.9p4728,noFermi,noFermi,yes
4U 2134+55,1500,324.25,55.9,-,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
IGR J21376+5636,9999,324.448,56.56399999999999,,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
Swift J2138.8-3207,7000,324.563,32.071999999999996,,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
Cep X-4,1316,324.9,57.06,"V* V490 Cep, 1H 2138+579, 3A 2129+571, 4U 2135+57, Ginga 2138+56",Cep X-4,J2139+569,Ginga 2138+56,Ginga2138p56,Cep X-4,cepx4,yes
1RXS J213944.3+59501,7105,324.93793,59.837223,-,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
SS Cyg,1660,325.67834,43.586082,"V* SS Cyg, HD 206697, 1H 2140+433, 1RXS J214242.6+433506, 2E 2140.7+4321, 3A 2140+433",SS Cyg,J2142+435,1H 2140+433,1H2140p433,noFermi,noFermi,yes
IGR J21441+4640,9999,326.017,46.681000000000004,-,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
Cyg X-2,1420,326.1716600000001,38.321667,"V* V1341 Cyg, 1H 2142+380, 1RXS J214429.0+381913, 3A 2142+380, 4U 2142+38",Cyg X-2,J2144+383,Cyg X-2,CygX-2,noFermi,noFermi,no
NGC 7130,7106,327.08117999999996,-34.952557,"ESO 403-32, IC 5135, IRAS F21453-3511",noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
IGR J21485+4306,9999,327.127,43.104,,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
PKS 2149-306,7200,327.9813200000001,-30.464916,"[VV96] J215155.4-302754, 1AXG J215159-3028, 1RXS J215155.4-302754, QSO B2149-306, RX J2151.9-3027, SWIFT J2152.0-3030",noMaxi,noMaxi,QSO B2149-306,QSOB2149-306,noFermi,noFermi,yes
IGR J21523-2240,9999,328.0780000000001,-22.678,-,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
IGR J21540+4806,9999,328.475,48.085,,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
IGR J21565+5948,7104,329.01743,59.934580000000004,2MASS J21560418+5956045,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
SWIFT J2156.2+1724,9999,329.038,17.335,,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
PKS 2152-69,7104,329.2749,-69.68992,"QSO B2153-699, 1AXG J215714-6942, 1RXS J215706.4-694120, IRAS F21529-6955",noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
PKS 2155-304,7300,329.71695,-30.225582,"2A 2151-316, 1H 2156-304, 1RXS J215852.2-301338, 2E 2155.9-3027, 3A 2156-306, 3EG J2158-3023, QSO B2155-304, RX J2158.8-3013",PKS 2155-304,J2158-302,PKS 2155-304,PKS2155-304,noFermi,noFermi,yes
Mrk 520,7106,330.17236,10.552417,-,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
IGR J22014+6034,9999,330.361,60.567,-,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
1H 2202+501,1300,330.40918,50.167946,"V* V2175 Cyg, SAO 51568",noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
NRAO 676,7200,330.43124,50.81564,TXS 2159+505,noMaxi,noMaxi,BWE 2159+5034,BWE2159p5034,noFermi,noFermi,yes
NGC 7172,7106,330.50708,-31.871668,"AM 2159-320, ESO 466-38, IRAS F21591-3206, LEDA 67874, MCG-05-52-007, XSS J22013-3147",NGC 7172,J2202-318,NGC 7172,NGC7172,noFermi,noFermi,yes
BL Lac,7300,330.6804,42.27778,"AN 363.1929, V* BL Lac, 1AXG J220245+4217, 1RXS J220244.4+421626, 2E 2200.6+4202, 3EG J2202+4217, IRAS F22006+4202, PKS 2200+420",noMaxi,noMaxi,QSO B2200+420,QSOB2200p420,noFermi,noFermi,yes
3EG J2206+6602,7200,331.5,66.0,TXS 2206+650 ?,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
AGL J2206+6203,1700,331.70486,62.062557,-,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
NGC 7212,7104,331.75882,10.2335,IRAS F22045+0959,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
3A 2206+543,1360,331.98434,54.518443999999995,"4U 2206+54, 1H 2205+538, 1RXS J220755.4+543111",4U 2206+543,J2207+545,4U 2206+54,4U2206p54,noFermi,noFermi,no
